BIOMD0000000486,2,2,2.0,2,2
BIOMD0000000092,3,3,3.0,3,4
BIOMD0000000233,4,4,4.0,4,6
BIOMD0000000267,3,3,3.0,3,5
BIOMD0000000283,2,2,2.0,2,3
BIOMD0000000363,3,3,3.3,4,6
BIOMD0000000854,4,4,4.4,5,8
BIOMD0000000040,5,5,5.6,6,9
BIOMD0000000413,6,6,6.6,7,12
BIOMD0000000609,7,6,6.7,7,13
BIOMD0000000629,4,3,3.0,3,4
BIOMD0000000868,5,5,5.0,5,10
BIOMD0000000916,3,3,3.0,3,7
BIOMD0000000057,6,6,6.4,7,13
BIOMD0000000271,3,3,3.1,4,9
BIOMD0000000272,3,3,3.5,4,9
BIOMD0000000282,3,3,3.0,3,5
BIOMD0000000405,6,6,6.4,7,11
BIOMD0000000487,4,4,4.0,4,7
BIOMD0000000870,9,9,9.7,11,20
BIOMD0000000361,8,8,8.5,9,15
BIOMD0000000692,7,7,8.8,9,16
BIOMD0000000871,11,11,11.3,12,22
BIOMD0000000357,7,8,8.0,8,17
BIOMD0000000359,12,12,13.5,17,27
BIOMD0000000360,10,10,11.2,13,23
BIOMD0000000755,7,7,7.0,7,13
BIOMD0000000987,10,10,10.0,10,18
BIOMD0000000035,12,12,12.8,14,25
BIOMD0000000080,8,7,7.0,7,13
BIOMD0000000082,8,7,7.0,7,13
BIOMD0000001004,14,10,10.0,10,17
BIOMD0000000026,11,12,12.4,13,23
BIOMD0000000052,7,7,7.3,8,21
BIOMD0000000257,11,11,12.6,16,34
BIOMD0000000647,8,8,8.6,9,17
BIOMD0000000637,20,20,23.1,29,52
BIOMD0000000002,20,20,24.2,35,61
BIOMD0000000447,23,23,24.9,26,51
BIOMD0000000050,9,10,11.5,12,30
BIOMD0000000364,13,15,15.9,17,35
BIOMD0000000500,19,19,23.3,27,51
BIOMD0000000028,17,19,19.7,21,38
BIOMD0000000038,15,17,17.2,18,31
BIOMD0000000085,26,29,32.9,38,64
BIOMD0000000086,35,40,44.9,49,82
BIOMD0000000259,16,16,16.3,17,34
BIOMD0000000260,16,16,16.5,18,34
BIOMD0000000261,16,16,16.5,18,34
BIOMD0000000030,19,21,23.2,25,45
BIOMD0000000315,31,34,38.7,43,88
BIOMD0000000638,44,44,62.0,74,133
BIOMD0000000011,20,23,25.1,27,51
BIOMD0000000200,36,40,43.4,47,90
BIOMD0000000475,22,23,24.8,26,48
BIOMD0000000430,32,38,41.4,43,81
BIOMD0000000431,32,36,40.1,45,82
BIOMD0000000581,27,17,17.5,18,42
BIOMD0000000365,40,50,57.1,63,117
BIOMD0000000599,39,44,48.9,56,100
BIOMD0000000747,33,34,37.3,40,74
BIOMD0000000335,37,36,38.7,41,79
BIOMD0000000362,39,39,41.2,43,81
BIOMD0000000951,39,38,40.4,43,81
BIOMD0000000501,48,55,64.4,78,157
BIOMD0000000492,52,76,86.1,98,224
BIOMD0000000491,57,72,84.7,99,227
BIOMD0000000014,203,305,322.9,340,614
BIOMD0000000559,121,144,150.9,157,312
