[x1 1 1 1 1 1 1],240,40,2803,3003,14
[1 x1 x1 x1 x1 x1 x1],240,40,2803,3003,14
[1 x1 1 1 1 1 1],520,140,6055,6435,15
[x1 1 x1 x1 x1 x1 x1],520,140,6055,6435,15
[1 1 x1 1 1 1 1],208,56,1564,1716,13
[x1 x1 1 x1 x1 x1 x1],208,56,1564,1716,13
[1 1 1 x1 1 1 1],312,122,1526,1716,13
[x1 x1 x1 1 x1 x1 x1],312,122,1526,1716,13
[1 1 1 1 x1 1 1],312,122,1526,1716,13
[x1 x1 x1 x1 1 x1 x1],312,122,1526,1716,13
[1 1 1 1 1 x1 1],192,32,1556,1716,13
[x1 x1 x1 x1 x1 1 x1],192,32,1556,1716,13
[1 1 1 1 1 1 x1],264,64,1516,1716,13
[x1 x1 x1 x1 x1 x1 1],264,64,1516,1716,13
[x2 1 1 1 1 1 1],240,40,2803,3003,14
[1 x2 x2 x2 x2 x2 x2],192,52,784,924,12
[1 x2 1 1 1 1 1],520,140,6055,6435,15
[x2 1 x2 x2 x2 x2 x2],520,140,6055,6435,15
[1 1 x2 1 1 1 1],208,56,1564,1716,13
[x2 x2 1 x2 x2 x2 x2],208,56,1564,1716,13
[1 1 1 x2 1 1 1],312,122,1526,1716,13
[x2 x2 x2 1 x2 x2 x2],312,122,1526,1716,13
[1 1 1 1 x2 1 1],312,122,1526,1716,13
[x2 x2 x2 x2 1 x2 x2],312,122,1526,1716,13
[1 1 1 1 1 x2 1],180,75,357,462,11
[x2 x2 x2 x2 x2 1 x2],192,32,1556,1716,13
[1 1 1 1 1 1 x2],264,64,1516,1716,13
[x2 x2 x2 x2 x2 x2 1],210,45,759,924,12
[x3 1 1 1 1 1 1],240,40,2803,3003,14
[1 x3 x3 x3 x3 x3 x3],240,40,2803,3003,14
[1 x3 1 1 1 1 1],520,140,6055,6435,15
[x3 1 x3 x3 x3 x3 x3],494,152,3090,3432,14
[1 1 x3 1 1 1 1],260,127,791,924,12
[x3 x3 1 x3 x3 x3 x3],208,56,1564,1716,13
[1 1 1 x3 1 1 1],312,122,1526,1716,13
[x3 x3 x3 1 x3 x3 x3],234,82,640,792,12
[1 1 1 1 x3 1 1],312,122,1526,1716,13
[x3 x3 x3 x3 1 x3 x3],312,122,1526,1716,13
[1 1 1 1 1 x3 1],192,32,1556,1716,13
[x3 x3 x3 x3 x3 1 x3],192,32,1556,1716,13
[1 1 1 1 1 1 x3],264,64,1516,1716,13
