[x1 1 1],6,0,4,10,5
[1 x1 x1],6,0,4,10,5
[1 x1 1],12,0,23,35,7
[x1 1 x1],12,0,23,35,7
[1 1 x1],12,2,10,20,6
[x1 x1 1],12,2,10,20,6
[x2 1 1],6,0,4,10,5
[1 x2 x2],6,0,4,10,5
[1 x2 1],12,0,23,35,7
[x2 1 x2],12,0,23,35,7
[1 1 x2],12,2,10,20,6
[x2 x2 1],12,2,10,20,6
[x3 1 1],6,0,4,10,5
[1 x3 x3],6,0,4,10,5
[1 x3 1],12,0,23,35,7
[x3 1 x3],12,0,23,35,7
[1 1 x3],12,2,10,20,6
[x3 x3 1],12,2,10,20,6
[x4 1 1],6,0,4,10,5
[1 x4 x4],6,0,4,10,5
[1 x4 1],12,0,23,35,7
[x4 1 x4],12,0,23,35,7
[1 1 x4],12,2,10,20,6
[x4 x4 1],12,2,10,20,6
[x5 1 1],6,0,4,10,5
[1 x5 x5],6,0,4,10,5
[1 x5 1],12,0,23,35,7
[x5 1 x5],12,0,23,35,7
[1 1 x5],12,2,10,20,6
[x5 x5 1],12,2,10,20,6
[x6 1 1],6,0,4,10,5
[1 x6 x6],6,0,4,10,5
[1 x6 1],12,0,23,35,7
[x6 1 x6],12,0,23,35,7
[1 1 x6],12,2,10,20,6
[x6 x6 1],12,2,10,20,6
[1 1 1],4,0,0,4,4
