[x1 1 1 1 1],40,12,98,126,9
[1 x1 x1 x1 x1],40,12,98,126,9
[1 x1 1 1 1],20,2,17,35,7
[x1 1 x1 x1 x1],20,2,17,35,7
[1 1 x1 1 1],24,0,32,56,8
[x1 x1 1 x1 x1],24,0,32,56,8
[1 1 1 x1 1],24,0,32,56,8
[x1 x1 x1 1 x1],24,0,32,56,8
[1 1 1 1 x1],21,0,49,70,8
[x1 x1 x1 x1 1],21,0,49,70,8
[x2 1 1 1 1],40,12,98,126,9
[1 x2 x2 x2 x2],22,3,16,35,7
[1 x2 1 1 1],20,2,17,35,7
[x2 1 x2 x2 x2],20,2,17,35,7
[1 1 x2 1 1],24,0,32,56,8
[x2 x2 1 x2 x2],17,0,4,21,7
[1 1 1 x2 1],24,0,32,56,8
[x2 x2 x2 1 x2],17,0,4,21,7
[1 1 1 1 x2],12,0,3,15,6
[x2 x2 x2 x2 1],21,0,49,70,8
[x3 1 1 1 1],35,12,47,70,8
[1 x3 x3 x3 x3],40,12,98,126,9
[1 x3 1 1 1],20,2,17,35,7
[x3 1 x3 x3 x3],14,1,2,15,6
[1 1 x3 1 1],24,0,32,56,8
[x3 x3 1 x3 x3],24,0,32,56,8
[1 1 1 x3 1],24,0,32,56,8
[x3 x3 x3 1 x3],24,0,32,56,8
[1 1 1 1 x3],25,9,19,35,7
[x3 x3 x3 x3 1],21,0,49,70,8
[x4 1 1 1 1],19,0,16,35,7
[1 x4 x4 x4 x4],40,12,98,126,9
[1 x4 1 1 1],20,2,17,35,7
[x4 1 x4 x4 x4],20,2,17,35,7
[1 1 x4 1 1],24,0,32,56,8
[x4 x4 1 x4 x4],20,3,4,21,7
[1 1 1 x4 1],24,0,32,56,8
[x4 x4 x4 1 x4],20,3,4,21,7
[1 1 1 1 x4],21,0,49,70,8
[x4 x4 x4 x4 1],21,3,17,35,7
[x5 1 1 1 1],35,12,47,70,8
[1 x5 x5 x5 x5],26,1,45,70,8
[1 x5 1 1 1],20,2,17,35,7
[x5 1 x5 x5 x5],14,1,2,15,6
[1 1 x5 1 1],24,0,32,56,8
[x5 x5 1 x5 x5],20,3,4,21,7
[1 1 1 x5 1],24,0,32,56,8
[x5 x5 x5 1 x5],20,3,4,21,7
[1 1 1 1 x5],25,9,19,35,7
[x5 x5 x5 x5 1],21,3,17,35,7
[1 1 1 1 1],12,0,3,15,6
