[x1 1 1 1 1 1],82,2,382,462,11
[1 x1 x1 x1 x1 x1],82,2,382,462,11
[1 x1 1 1 1 1],410,10,4605,5005,15
[x1 1 x1 x1 x1 x1],410,10,4605,5005,15
[1 1 x1 1 1 1],655,328,1389,1716,13
[x1 x1 1 x1 x1 x1],536,152,2619,3003,14
[1 1 1 x1 1 1],669,209,2543,3003,14
[x1 x1 x1 1 x1 x1],1505,1023,2521,3003,14
[1 1 1 1 x1 1],570,210,1356,1716,13
[x1 x1 x1 x1 1 x1],647,333,610,924,12
[1 1 1 1 1 x1],508,92,2587,3003,14
[x1 x1 x1 x1 x1 1],608,233,1341,1716,13
[x2 1 1 1 1 1],82,2,382,462,11
[1 x2 x2 x2 x2 x2],82,2,382,462,11
[1 x2 1 1 1 1],410,10,4605,5005,15
[x2 1 x2 x2 x2 x2],410,10,4605,5005,15
[1 1 x2 1 1 1],536,152,2619,3003,14
[x2 x2 1 x2 x2 x2],536,152,2619,3003,14
[1 1 1 x2 1 1],760,240,4485,5005,15
[x2 x2 x2 1 x2 x2],760,240,4485,5005,15
[1 1 1 1 x2 1],570,210,1356,1716,13
[x2 x2 x2 x2 1 x2],570,210,1356,1716,13
[1 1 1 1 1 x2],508,92,2587,3003,14
[x2 x2 x2 x2 x2 1],508,92,2587,3003,14
[x3 1 1 1 1 1],82,2,382,462,11
[1 x3 x3 x3 x3 x3],82,2,382,462,11
[1 x3 1 1 1 1],410,10,4605,5005,15
[x3 1 x3 x3 x3 x3],410,10,4605,5005,15
[1 1 x3 1 1 1],536,152,2619,3003,14
[x3 x3 1 x3 x3 x3],536,152,2619,3003,14
[1 1 1 x3 1 1],760,240,4485,5005,15
[x3 x3 x3 1 x3 x3],760,240,4485,5005,15
[1 1 1 1 x3 1],570,210,1356,1716,13
[x3 x3 x3 x3 1 x3],570,210,1356,1716,13
[1 1 1 1 1 x3],508,92,2587,3003,14
[x3 x3 x3 x3 x3 1],508,92,2587,3003,14
[x4 1 1 1 1 1],82,2,382,462,11
[1 x4 x4 x4 x4 x4],82,2,382,462,11
[1 x4 1 1 1 1],410,10,4605,5005,15
[x4 1 x4 x4 x4 x4],410,10,4605,5005,15
[1 1 x4 1 1 1],536,152,2619,3003,14
[x4 x4 1 x4 x4 x4],536,152,2619,3003,14
[1 1 1 x4 1 1],760,240,4485,5005,15
[x4 x4 x4 1 x4 x4],760,240,4485,5005,15
[1 1 1 1 x4 1],570,210,1356,1716,13
[x4 x4 x4 x4 1 x4],570,210,1356,1716,13
[1 1 1 1 1 x4],508,92,2587,3003,14
[x4 x4 x4 x4 x4 1],508,92,2587,3003,14
[x5 1 1 1 1 1],82,2,382,462,11
[1 x5 x5 x5 x5 x5],82,2,382,462,11
[1 x5 1 1 1 1],410,10,4605,5005,15
[x5 1 x5 x5 x5 x5],410,10,4605,5005,15
[1 1 x5 1 1 1],536,152,2619,3003,14
[x5 x5 1 x5 x5 x5],536,152,2619,3003,14
[1 1 1 x5 1 1],760,240,4485,5005,15
[x5 x5 x5 1 x5 x5],760,240,4485,5005,15
[1 1 1 1 x5 1],570,210,1356,1716,13
[x5 x5 x5 x5 1 x5],570,210,1356,1716,13
[1 1 1 1 1 x5],508,92,2587,3003,14
[x5 x5 x5 x5 x5 1],508,92,2587,3003,14
[x6 1 1 1 1 1],82,2,382,462,11
[1 x6 x6 x6 x6 x6],82,2,382,462,11
[1 x6 1 1 1 1],368,16,2651,3003,14
[x6 1 x6 x6 x6 x6],400,32,2635,3003,14
[1 1 x6 1 1 1],464,137,1389,1716,13
[x6 x6 1 x6 x6 x6],536,152,2619,3003,14
[1 1 1 x6 1 1],760,240,4485,5005,15
[x6 x6 x6 1 x6 x6],760,240,4485,5005,15
[1 1 1 1 x6 1],570,210,1356,1716,13
[x6 x6 x6 x6 1 x6],570,210,1356,1716,13
[1 1 1 1 1 x6],508,92,2587,3003,14
[x6 x6 x6 x6 x6 1],608,233,1341,1716,13
[x7 1 1 1 1 1],82,2,382,462,11
[1 x7 x7 x7 x7 x7],82,2,382,462,11
[1 x7 1 1 1 1],410,10,4605,5005,15
[x7 1 x7 x7 x7 x7],410,10,4605,5005,15
[1 1 x7 1 1 1],536,152,2619,3003,14
[x7 x7 1 x7 x7 x7],536,152,2619,3003,14
[1 1 1 x7 1 1],760,240,4485,5005,15
[x7 x7 x7 1 x7 x7],760,240,4485,5005,15
[1 1 1 1 x7 1],570,210,1356,1716,13
[x7 x7 x7 x7 1 x7],570,210,1356,1716,13
[1 1 1 1 1 x7],508,92,2587,3003,14
[x7 x7 x7 x7 x7 1],508,92,2587,3003,14
[x8 1 1 1 1 1],82,2,382,462,11
[1 x8 x8 x8 x8 x8],82,2,382,462,11
[1 x8 1 1 1 1],410,10,4605,5005,15
[x8 1 x8 x8 x8 x8],410,10,4605,5005,15
[1 1 x8 1 1 1],536,152,2619,3003,14
