[x1 1 1 1 1 1],75,6,183,252,10
[1 x1 x1 x1 x1 x1],42,1,15,56,8
[1 x1 1 1 1 1],69,12,69,126,9
[x1 1 x1 x1 x1 x1],75,6,183,252,10
[1 1 x1 1 1 1],88,8,130,210,10
[x1 x1 1 x1 x1 x1],63,4,25,84,9
[1 1 1 x1 1 1],88,8,130,210,10
[x1 x1 x1 1 x1 x1],88,8,130,210,10
[1 1 1 1 x1 1],176,16,764,924,12
[x1 x1 x1 x1 1 x1],294,155,323,462,11
[1 1 1 1 1 x1],76,20,70,126,9
[x1 x1 x1 x1 x1 1],92,8,378,462,11
[x2 1 1 1 1 1],69,12,69,126,9
[1 x2 x2 x2 x2 x2],75,6,183,252,10
[1 x2 1 1 1 1],75,6,183,252,10
[x2 1 x2 x2 x2 x2],44,3,15,56,8
[1 1 x2 1 1 1],88,8,130,210,10
[x2 x2 1 x2 x2 x2],88,8,130,210,10
[1 1 1 x2 1 1],88,8,130,210,10
[x2 x2 x2 1 x2 x2],63,4,25,84,9
[1 1 1 1 x2 1],176,16,764,924,12
[x2 x2 x2 x2 1 x2],151,12,323,462,11
[1 1 1 1 1 x2],76,20,70,126,9
[x2 x2 x2 x2 x2 1],92,8,378,462,11
[x3 1 1 1 1 1],59,4,71,126,9
[1 x3 x3 x3 x3 x3],75,6,183,252,10
[1 x3 1 1 1 1],59,5,72,126,9
[x3 1 x3 x3 x3 x3],75,6,183,252,10
[1 1 x3 1 1 1],88,8,130,210,10
[x3 x3 1 x3 x3 x3],70,15,29,84,9
[1 1 1 x3 1 1],88,8,130,210,10
[x3 x3 x3 1 x3 x3],88,8,130,210,10
[1 1 1 1 x3 1],176,16,764,924,12
[x3 x3 x3 x3 1 x3],363,228,327,462,11
[1 1 1 1 1 x3],140,69,181,252,10
[x3 x3 x3 x3 x3 1],124,52,180,252,10
[x4 1 1 1 1 1],80,26,72,126,9
[1 x4 x4 x4 x4 x4],75,6,183,252,10
[1 x4 1 1 1 1],59,4,71,126,9
[x4 1 x4 x4 x4 x4],75,6,183,252,10
[1 1 x4 1 1 1],88,8,130,210,10
[x4 x4 1 x4 x4 x4],88,8,130,210,10
[1 1 1 x4 1 1],88,8,130,210,10
[x4 x4 x4 1 x4 x4],66,11,29,84,9
[1 1 1 1 x4 1],176,16,764,924,12
[x4 x4 x4 x4 1 x4],363,228,327,462,11
[1 1 1 1 1 x4],160,89,181,252,10
[x4 x4 x4 x4 x4 1],124,52,180,252,10
[x5 1 1 1 1 1],42,2,16,56,8
[1 x5 x5 x5 x5 x5],75,6,183,252,10
[1 x5 1 1 1 1],42,2,16,56,8
[x5 1 x5 x5 x5 x5],75,6,183,252,10
[1 1 x5 1 1 1],88,8,130,210,10
[x5 x5 1 x5 x5 x5],70,13,27,84,9
[1 1 1 x5 1 1],88,8,130,210,10
[x5 x5 x5 1 x5 x5],66,9,27,84,9
[1 1 1 1 x5 1],176,16,764,924,12
[x5 x5 x5 x5 1 x5],181,77,106,210,10
[1 1 1 1 1 x5],92,8,378,462,11
[x5 x5 x5 x5 x5 1],124,52,180,252,10
[x6 1 1 1 1 1],75,6,183,252,10
[1 x6 x6 x6 x6 x6],75,6,183,252,10
[1 x6 1 1 1 1],75,6,183,252,10
[x6 1 x6 x6 x6 x6],75,6,183,252,10
[1 1 x6 1 1 1],88,8,130,210,10
[x6 x6 1 x6 x6 x6],88,8,130,210,10
[1 1 1 x6 1 1],88,8,130,210,10
[x6 x6 x6 1 x6 x6],88,8,130,210,10
[1 1 1 1 x6 1],176,16,764,924,12
[x6 x6 x6 x6 1 x6],176,16,764,924,12
[1 1 1 1 1 x6],92,8,378,462,11
[x6 x6 x6 x6 x6 1],92,8,378,462,11
[1 1 1 1 1 1],44,4,16,56,8
